Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,benjaminmoore,Benjamin Moore 1013 Taupetone,#987e6d,0.6128036666199846,0.040781126870809446,54.97553668092701,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201013%20Taupetone%20color%20swatch,https://placehold.co/400x400/987e6d/ffffff.png?text=Benjamin%20Moore%201013%20Taupetone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1014 Chocolate,#8d6e5f,0.5646176913242761,0.04561299896664672,47.11112869369276,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201014%20Chocolate%20color%20swatch,https://placehold.co/400x400/8d6e5f/ffffff.png?text=Benjamin%20Moore%201014%20Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1015 Cowboy,#7f6456,0.5261898531501553,0.0410864737654684,48.806023363300596,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201015%20Cowboy%20color%20swatch,https://placehold.co/400x400/7f6456/ffffff.png?text=Benjamin%20Moore%201015%20Cowboy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1016 Ionic,#e8ded0,0.9047433066411616,0.021770670364335065,76.52238178547168,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201016%20Ionic%20color%20swatch,https://placehold.co/400x400/e8ded0/ffffff.png?text=Benjamin%20Moore%201016%20Ionic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1017 Dusty,#dfd1c1,0.8677181060594359,0.026703681376538273,71.15646660943582,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201017%20Dusty%20color%20swatch,https://placehold.co/400x400/dfd1c1/ffffff.png?text=Benjamin%20Moore%201017%20Dusty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1018 Shabby,#cbbaa9,0.7985261087957382,0.03045578345097948,67.36846346075572,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201018%20Shabby%20color%20swatch,https://placehold.co/400x400/cbbaa9/ffffff.png?text=Benjamin%20Moore%201018%20Shabby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1019 Dellwood,#b5a08c,0.7187040480665908,0.03749198086987581,65.78834218141287,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201019%20Dellwood%20color%20swatch,https://placehold.co/400x400/b5a08c/ffffff.png?text=Benjamin%20Moore%201019%20Dellwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1020 Woodacres,#9e8875,0.6415776959541167,0.038363005472066974,62.88180743864223,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201020%20Woodacres%20color%20swatch,https://placehold.co/400x400/9e8875/ffffff.png?text=Benjamin%20Moore%201020%20Woodacres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1021 Long,#897462,0.5737589115630263,0.03748951653909235,62.57463482073297,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201021%20Long%20color%20swatch,https://placehold.co/400x400/897462/ffffff.png?text=Benjamin%20Moore%201021%20Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1022 Maple,#84705e,0.5590942610478958,0.036813047088745804,63.956674863414435,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201022%20Maple%20color%20swatch,https://placehold.co/400x400/84705e/ffffff.png?text=Benjamin%20Moore%201022%20Maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
